name,count
massive,2
dessert,2
choice,2
margarita,4
impressive,2
mexican restaurant,3
drinks,2
find,3
forgive,2
great,4
options,2
guacamole,2
takes,2
visit,2
starter,2
making,2
states,2
edinburgh,5
salsa,4
authentic,3
remember,2
mexican,2
satisfied,2
main,4
good,8
food,6
lunch,2
found,2
meal,3
hard,3
expect,3
special,3
god,2
couldn,2
place,4
isn,3
feel,2
delicious,3
guess,2
service,3
top,2
supposed,2
dishes,3
don,5
tequila,2
cheap,3
staff,2
chiquito,8
menu,4
chips,4
enjoy mexican food,2
bad,3
tortilla,2
seat,2
cocktails,2
restaurant,3
offerings,2
ordered,3
understand,2
chimichangas,2
ve,3
make,4
mexican food,4
drink,2
nachos,4
left,2
real,2
bit,6
served,2
didn,3
people,2
back,3
ice,2
side,2
dinner,2
impressed,4
lot,2
happy,2
eat,2
made,3
nice,2
favourite,3
time,4
basically,2
